Question,"Question Type (multiple-choice or multi-select)","Answer Option 1","Answer Option 2","Answer Option 3","Answer Option 4","Answer Option 5","Answer Option 6","Correct Response",Explanation,"Knowledge Area"
"A defendant was driving his automobile at a legal speed in a residential zone.  A child darted out in front of him and was run over and killed before the defendant could prevent it.  The defendant's driver's license had expired three months previously; the defendant had neglected to check when it was due to expire.  Driving without a valid license is a misdemeanor in the jurisdiction.  On a charge of manslaughter, the defendant should be found",multiple-choice,"guilty under the misdemeanor-manslaughter rule.","guilty, because the licensing requirements are to protect life, and failure to obey is negligence.","not guilty, because the offense was not the proximate cause of the death.","not guilty, because there was no criminal intent.",3,"The correct answer is C. For the defendant to be found guilty of manslaughter, a proximate cause between the illegal act and the resulting death of the victim must exist. This causation must be more than simple cause-in-fact; it must be somehow foreseeable from the illegal action taken. In this case, the fact the defendant did not possess a valid license was not a causal factor in the death of the child.<br /><br /> Answer A is incorrect. The common law misdemeanor-manslaughter rule, while permitting the prosecution of involuntary manslaughter for misdemeanor offenses, still requires that there be a proximate cause between the illegal action and death. Answer B is incorrect. While the licensing requirements may be to protect life, criminal liability for manslaughter requires more than simple negligence, but also proximate cause. Finally, answer D is incorrect; manslaughter does not require that the defendant have any criminal intent to commit an offense. Recklessness is sufficient. The lack of the foreseeability between driving without a license and the death of the child shows the lack of proximate cause.",Homicide
"A husband and wife were walking to their car one evening after having seen a movie.  As they were passing a dark alleyway, the defendant leaped out brandishing a gun.  He pushed the wife against the wall of a nearby building, held the gun to her head, and demanded money from the husband.  The husband handed over his cash.  The defendant grabbed the cash and ran away.",multiple-choice,"Robbery of the husband","Larceny from the husband.","Assault on the husband and wife.","Assault on the wife.",1,"The correct answer is A. The most serious offense that the defendant may be convicted of is robbery of the husband. Robbery is the taking, by force or threat of force, of personal property of another with the intent to permanently deprive the owner of the property. In this question, the defendant, having the clear intent to deprive the husband of his money, used the threat of force against the wife to obtain the property. The threatened force need not be toward the owner of the property; it may also be toward another party. Answer A is the most serious offense listed and is correct.<br /><br />Answer B is incorrect because it is less serious than the robbery and would be merged into the robbery charge. Answer C is incorrect because it is less serious than the robbery charge, and the assault on the husband would merge into the robbery charge. Answer D is incorrect because it is less serious than the robbery charge. Although the defendant committed all of the listed offenses, robbery is the most serious offense.<br />","Theft Crimes"
"Despondent over losing his job, a businessman drank all night at a bar.  While driving home, he noticed a car following him and, in his intoxicated state, concluded he was being followed by robbers.  In fact, a police car was following him on suspicion of drunk driving.  In his effort to get away, the businessman sped through a stop sign and struck and killed a pedestrian.  He was arrested by the police.<br /><br />The businessman is prosecuted for manslaughter. He should be",multiple-choice,"acquitted, because he honestly believed he faced an imminent threat of death or severe bodily injury.","acquitted, because his intoxication prevented him from appreciating the risk he created.","convicted, because he acted recklessly and in fact was in no danger.","convicted, because he acted recklessly and his apprehension of danger was not reasonable.",4,"The correct answer is D.  The businessman should be convicted of manslaughter because he recklessly caused the death of a human being, and he has no valid self-defense claim.  The businessman is charged with manslaughter, which is the killing of another person without malice aforethought.  He did recklessly kill another person by driving while intoxicated and speeding through a stop sign.  The businessman's claim of self-defense will fail because his belief that he was acting in self-defense was not reasonable.<br /><br /><br />Answer A is incorrect because, to successfully raise a self-defense claim, the businessman must not only believe that he faced an imminent threat of death or severe bodily injury, but also that belief must be reasonable. The businessman's apprehension of danger was unreasonable on its face, so he cannot make a proper self-defense claim. Answer B is incorrect because the businessman did not need to appreciate the risk he was creating to be found guilty of manslaughter. In addition, his voluntary intoxication was one of the reasons for his recklessness and will not serve as a defense. Answer C is incorrect because a proper claim of self-defense does not require that the person actually be in danger, but rather that the person reasonably believe he is in danger, even if it is not true. Since the businessman's belief that he was acting in self-defense was unreasonable, and because he recklessly killed another human being, he should be convicted of manslaughter.",Homicide
"A husband decided to kill his wife by poisoning her.  He asked his friend, a pharmacist, to obtain some Curare, a deadly poison, and to give it to him without recording the transaction.  Because the pharmacist suspected the husband's motive, she supplied the husband with a small quantity of Marvane, an antibiotic, instead of Curare.  Marvane is harmless if administered in small quantities, except for the less than 1 percent of the population who are allergic to the drug.  The husband injected his wife with Marvane while she slept.  She was allergic to the drug and died from the injection.  The pharmacist was distraught and confessed the entire affair to the police, explaining that she had failed to report the husband's conduct to the authorities because she feared that it would end their friendship if she did.<br /><br />In a common-law jurisdiction, the husband is guilty of",multiple-choice,"murder only.","murder and conspiracy.","attempted murder only.","attempted murder and conspiracy.",1,"The correct answer is A.  Murder is causing the death of a human being with malice aforethought.  The husband, with the intent to kill his wife, poisoned her, which was an immediate, actual, and proximate cause of her death.  Although the wife's death was, unknown to the husband, unlikely, the husband's actions did cause her death, and he did so intentionally and with malice aforethought.  The husband is guilty of murder.",Homicide
"An employee decided to kill his boss after she told him that he would be fired if his work did not improve.  The employee knew his boss was scheduled to go on a business trip on Monday morning.  On Sunday morning, the employee went to the company parking garage and put a bomb in the company car that his boss usually drove.  The bomb was wired to go off when the car engine started.  The employee then left town.  At 5 a.m. Monday, the employee, after driving all night, was overcome with remorse and had a change of heart.  He called the security officer on duty at the company and told him about the bomb.  The security officer said he would take care of the matter.  An hour later, the officer put a note on the boss's desk telling her of the message.  He then looked at the car but could not see any signs of a bomb.  He printed a sign saying, ""DO NOT USE THIS CAR,"" put it on the windshield, and went to call the police.  Before the police arrived, a company vice president got into the car and started the engine.  The bomb went off, killing her.<br /><br />The jurisdiction defines murder in the first degree as any homicide committed with premeditation and deliberation or any murder in the commission of a common-law felony.  Second-degree murder is defined as all other murder at common law.  Manslaughter is defined by the common law.<br /><br />The employee is guilty of",multiple-choice," murder in the first degree, because, with premeditation and deliberation, he killed whoever would start the car.","murder in the second degree, because he had no intention of killing the company vice president.","manslaughter, because at the time of the explosion, he had no intent to kill, and the death of the company vice president was in part the fault of the security officer.","only attempted murder of his boss, because the death of the company vice president was the result of the security officer's negligence.",1,"The correct answer is A.  The employee, with premeditation and deliberation, caused the company vice president's death.  Although his intent was to kill his boss, the doctrine of transferred intent will presume that intent to go with whomever started the vehicle.<br /><br /><br /><br />Answer B is incorrect because the employee had the requisite intent to kill, and the requisite premeditation and deliberation, and that intent is transferred to the person who started the car.  Although the employee did not intend to kill the company vice president in particular, he is guilty of first degree murder.<br /><br /><br /><br />Answer C is incorrect because, although at the precise moment the company vice president was killed, the employee did not have the intent to kill anyone, when he took the actions that led to the vice president's death, he did have the intent to kill.  The employee cannot escape liability for murder merely because he changed his mind after he set the murder in motion.  Regardless of the employee's attempt to stop anyone from using the vehicle, he will still bear criminal responsibility for originally placing the bomb in the vehicle with the intent to murder his boss.<br /><br />Answer D is incorrect because the security officer's failure to save the company vice president's life is not an intervening act that would negate the employee's responsibility in causing the vice president's death.  It was completely foreseeable that someone other than the boss would be killed as a result of the employee's actions, and the security guard's failure to stop the company vice president will not negate the employee's guilt.  Therefore, the employee is guilty of first degree murder.",Homicide
"An inventor, believing that a woman suffered from arthritis, told her that for $100 he could cure her with a device he had invented.  The device was a large box with a series of electric light bulbs along the sides.  The woman, after examining the device, agreed to take the treatment, which consisted of placing her hands inside the box for several ten-minute periods.  The woman gave the inventor $100 and went through the treatment.<br /><br />The inventor is charged with obtaining money by false pretenses.  Each of the following, if true, will absolve the inventor of guilt for obtaining money by false pretenses <br /><br />EXCEPT<br />",multiple-choice," A. The inventor honestly believed that the device would cure arthritis, but his belief was unreasonable."," B. The woman honestly believed that the device would cure arthritis, but her belief was unreasonable."," C. The inventor was playing a practical joke on the woman and intended to return the money."," D. The woman was an undercover police officer and did not believe that the device would cure arthritis.",2,"The correct answer is B.  At common law, false pretenses is defined as obtaining possession and title of another's property through fraud or misrepresentation while intending to steal the property.  B is correct because a victim's unreasonable belief is not an element of false pretenses.  Hence, the woman's unreasonable belief in the inventor's false statement will not absolve the inventor of false pretenses.<br /><br /><br /><br />Answer A is incorrect because if the inventor thought his device cured arthritis, he did not knowingly mislead the woman and is not guilty of false pretenses.  Answer C is incorrect because if the inventor did not intend to steal the woman's money, he is not guilty of false pretenses.  Answer D is incorrect because if the inventor did not deceive the woman into relinquishing the property, the inventor is not guilty of false pretenses.<br /><br />","Other Crimes"
"While browsing in a clothing store, a defendant decided to take a purse without paying for it.  She placed the purse under her coat and took a couple of steps toward the exit.  She then realized that a sensor tag on the purse would set off an alarm.  She placed the purse near the counter from which she had removed it.<br /><br />The defendant has committed",multiple-choice," A. no crime, because the purse was never removed from the store."," B. no crime, because she withdrew from her criminal enterprise."," C. only attempted larceny, because she intended to take the purse out of the store."," D. larceny, because she took the purse from its original location and concealed it with the intent to steal.",4,"The correct answer is D.  Larceny is the taking possession and carrying away of the personal property of another, without the owner's consent and with the intent to permanently deprive the owner of the property.  The defendant took the purse and concealed it under her coat with the intent to permanently deprive the owner of the purse.  Therefore, the defendant committed larceny.<br /><br /><br /><br />Answer A is incorrect because the defendant does not need to leave the premises to commit larceny; taking the purse and concealing it with the intent to deprive the owner is sufficient.  Answer B is incorrect because withdrawal is a defense to criminal liability involving co-conspirators but does not apply after the offense has been committed.  Although the defendant quickly changed her mind, she still moved and concealed the property with the intent to permanently deprive the owner of it and thus committed the offense of larceny.  Answer C is incorrect because the defendant committed more than attempted larceny, she committed larceny.  She took, and hid, the property of another with the intent to deprive the owner of it.  Larceny punishes the taking of property with the intent to steal, even if the defendant does not travel very far with it.  Therefore, the defendant committed larceny. ","Other Crimes"
"A marksman bought a new rifle and wanted to try it out by doing some target shooting.  He went out into the country to an area where he had previously hunted.  Much to his surprise, he noticed that the area beyond a clearing contained several newly constructed houses that had not been there before.  Between the houses there was a small playground where several children were playing.  Nevertheless, the marksman nailed a paper target to a tree and went to a point where the tree was between himself and the playground.  He then fired several shots at the target.  One of the shots missed the target and the tree and hit and killed one of the children in the playground.<br /><br /><br />The marksman was convicted of murder.  He appealed, contending that the evidence was not sufficient to support a conviction of murder.<br /><br /><br /><br />The appellate court should",multiple-choice," A. affirm the conviction, because the evidence is sufficient to support a conviction of murder."," B. reverse the conviction and remand for a new trial, because the evidence is not sufficient for murder but will support a conviction of voluntary manslaughter."," C. reverse the conviction and remand for a new trial, because the evidence is not sufficient for murder but will support a conviction of involuntary manslaughter."," D. reverse the conviction and order the case dismissed, because the evidence is sufficient only for a finding of negligence and negligence alone cannot support a criminal conviction.",1,"The correct answer is A.  When determining the sufficiency of the evidence to sustain a charge, the appellate court considers the evidence in the light most favorable to the state.  In this case, the marksman placed his target so that, if he missed, he would be shooting in the direction of the children; he fired numerous shots from a rifle in the direction of an occupied playground and killed a child.  Even though he did not have the intent to kill, the evidence is sufficient for a jury to find that the marksman acted with extreme recklessness toward human life, which is sufficient for a finding of malice aforethought for the murder conviction.  The appellate court should affirm the conviction of murder.<br /><br /><br /><br />Answer B is incorrect because the evidence was sufficient and because there was no ""heat of passion"" defense presented which might allow for a voluntary manslaughter charge.  Answer C is incorrect because the evidence was sufficient to prove malice aforethought, and because the marksman's actions were more than just negligent; they were grossly reckless.  Answer D is incorrect because the evidence was sufficient to sustain a conviction, and because criminal negligence can indeed support a criminal conviction.  Because the appellate court considers only whether there is sufficient evidence to support the conviction, the jury could have found that the marksman's extreme recklessness was sufficient for a finding of malice aforethought necessary for a murder conviction.  Therefore, his conviction should be affirmed.<br />",Homicide
"In a jurisdiction that has abolished the felony-murder rule, but otherwise follows the common law of murder, a man and woman, both armed with automatic weapons, went into a bank to rob it.  The man ordered all the persons in the bank to lie on the floor.  When some were slow to obey, the woman, not intending to hit anyone, fired about 15 rounds into the air.  One of these ricocheted off a stone column and struck and killed a customer in the bank.<br /><br /><br /><br />The man and woman were charged with murder of the customer.<br /><br /><br /><br />Which of the following is correct?<br />",multiple-choice," A. The woman can be convicted of murder, because she did the act of killing, but the man  cannot be convicted of either murder or manslaughter."," B. Neither can be guilty of murder, but both can be convicted of manslaughter based upon an unintentional homicide."," C. The woman can be convicted only of manslaughter, but the man cannot be convicted of murder or manslaughter."," D. Both can be convicted of murder.",4,"The correct answer is D. Common law murder is not a specific intent crime. At common law, murder is defined as the unlawful killing of another human being with malice aforethought. Malice can be shown by having an intent to kill, or by having an intent to inflict great bodily harm. Malice can also be implied by actions that show a reckless indifference to an unjustifiably high risk to human life. In this case, the woman's act of firing an automatic weapon in a populated bank demonstrates the reckless indifference necessary to show malice aforethought, and the woman can be convicted of murder. The woman was acting with gross recklessness toward human life and thus with malice aforethought. The man is the woman's accomplice: a person who aids or encourages another to commit the illegal conduct. He is liable for the principal crime so long as he intended that the crime be committed. Not only is he liable for the principal crime, but also all other foreseeable crimes that occur. In this case, it was foreseeable that entering into a bank to rob it with loaded guns could result in firing those guns and killing someone. Therefore the man can also be convicted of murder under accomplice liability.<br /><br /><br />Answer A is incorrect because the man, as the woman's accomplice, is criminally liable for the woman's actions, and can be convicted of murder.  Answer B is incorrect because even unintentional homicides can be the basis for murder if they are done with malice aforethought.  In this case, the gross recklessness toward human life shown by the woman and the man's actions is sufficient for a finding of malice aforethought.  Answer C is incorrect because the woman can be convicted of murder, not just manslaughter.  Answer C is also incorrect because the man is criminally responsible for the woman's actions.  Although there is no felony-murder liability in this jurisdiction, both the woman and the man can be convicted of murder.",Homicide
"A jurisdiction has the following decisional law on questions of principal and accomplice liability:<br><br><br /><br />CASE A: The defendant, a hardware store owner, sold several customers an item known as ""SuperTrucker,"" which detects police radar and enables speeders to avoid detection.  When one of the devices broke down and the speeder was arrested, he confessed that he often sped, secure in the knowledge that his ""SuperTrucker"" would warn him of police radar in the vicinity.  <u>Held</u>: The defendant guilty as an accomplice to speeding.<br><br><br /><br />CASE B: The defendant told a man that the defendant had stored some stereo equipment in a self-storage locker.  He gave the man a key and asked the man to pick up the equipment and deliver it to the defendant's house.  The man complied, and removed the equipment from the locker, using the key.  In fact, the equipment belonged to the defendant's neighbor, whose locker key the defendant had found in the driveway.  <u>Held</u>: The defendant guilty as an accomplice to burglary.<br><br><br /><br />CASE C: A city council member accepted a bribe from the defendant in exchange for his vote on the defendant's application for a zoning variance.  A statute prohibits the taking of bribes by public officials.  <u>Held</u>: The defendant not guilty as an accomplice to the city council member's violation of the bribery statute.<br><br><br /><br />CASE D:  The defendant, an innkeeper, sometimes let his rooms to prostitutes, whom he knew to be using the rooms to ply their trade.  He charged the prostitutes the same price as other guests at his inn.  <u>Held</u>: The defendant not guilty as an accomplice to prostitution.<br><br><br /><br />A college student purchased narcotics from a dealer whom he believed to be a ""street person"" but who was in fact an undercover police agent. The student has been charged as an accomplice to the sale of narcotics.<br><br><br /><br />He should be",multiple-choice," A. convicted on the authority of Case A."," B. convicted on the authority of Case B."," C. acquitted on the authority of Case C."," D. acquitted on the authority of Case D.",3,"The correct answer is C. Case C presents an instance where the person being charged as an accomplice is not the person the statute intended to penalize. If a statute defines a crime that necessarily involves more than one person and only provides for liability for one person, it is presumed that the legislative intent was to immunize the other person from liability as an accomplice. In case C, the statute prohibits the <i> taking </i> of bribes by a public official. Since the defendant was only a private person giving a bribe, he would not be guilty as an accomplice under the statute. In the present case, the college student is purchasing narcotics but is being charged as an accomplice to the <i> sale </i> of narcotics. Therefore, the college student is not the person that the statute intends to target, and should be acquitted of the accomplice charge based on the authority of case C. <br><br><br /><br />Case A illustrates the rule that a defendant is guilty as an accomplice if he provides an individual with the means to commit an offense and the assistance could not be for a legitimate purpose. The college student did not assist in the sale of narcotics, so case A is not the proper authority. Case B illustrates the rule that a defendant who provides substantial encouragement or assistance to an unwitting third-person in the commission of a crime will be liable as an accomplice to the crime. The student did not sell narcotics through a third-person, so case B is not the proper authority. Case D illustrates the rule that a defendant would not be guilty as an accomplice for providing a means for an offense to occur when there is a legitimate purpose for providing the good or service. The college student did not assist in the sale of narcotics and had no legitimate purpose for buying narcotics off the street, so case D is not the proper authority.","Inchoate Crimes"
"A neighbor frequently visited a woman who lived in the house next to him.  The woman was separated from her husband.  The husband resided with his mother but jointly owned the house in which the woman resided.  Late one night, the neighbor and the woman were sitting and drinking on the bed in the woman's bedroom when the husband burst through the door and told the neighbor, ""Get out.""  When the neighbor refused, the husband challenged him to go outside and ""fight it out.""  The neighbor again refused.  The husband then pulled a knife from his pocket and lunged at the neighbor.  The neighbor grabbed a lamp, struck the husband on the head, and killed him.  The neighbor is charged with murder.  On a charge of murder, the neighbor should be found",multiple-choice," A. not guilty, because the neighbor had as much right as the husband to be in the house."," B. not guilty, because the husband attacked the neighbor with a deadly weapon."," C. guilty, because the neighbor's presence in the woman's bedroom prompted the husband's attack."," D. guilty, because the neighbor's failure to obey the husband's order to leave the house made him a trespasser.",2,"B is the correct answer. The issue is whether the neighbor was privileged to use deadly force in self-defense given the situation. A person may use deadly force in self-defense when: (1) he is without fault (i.e., not the aggressor or provoker), (2) he is confronted with unlawful force, and (3) he is threatened with imminent death or great bodily harm. In this case, the husband was clearly the aggressor, and used unlawful deadly force in attacking the neighbor with the knife. Additionally, there is no indication that the neighbor provoked the attack. Therefore, the neighbor was privileged to use deadly force in self-defense, and is not guilty of murder.<br><br> <br /><br />A is incorrect because the neighbor's right to be in the house is not the proper justification for self-defense. C is incorrect because the neighbor's presence in the woman's bedroom is not an act of provocation that would invalidate the neighbor's privilege of self-defense. D is incorrect because even if the husband's order made the neighbor a trespasser, the husband's use of deadly force would still be unlawful and the neighbor would still be privileged to use deadly force in self-defense. ",Homicide
