Question,"Question Type (multiple-choice or multi-select)","Answer Option 1","Answer Option 2","Answer Option 3","Answer Option 4","Answer Option 5","Answer Option 6","Correct Response",Explanation,"Knowledge Area"
"On June 1, a seller and a buyer contracted in writing for the sale and purchase of the seller's cattle ranch (a large single tract) and to close the transaction on December 1.

The buyer unequivocally repudiated the contract on August 1. On August 15, the seller urged the buyer to change her mind and proceed with the scheduled closing on December 1. On October 1, having heard nothing further from the buyer, the seller sold and conveyed his ranch to a rancher without notice to the buyer. On December 1, the buyer attempted to close under the June 1 contract by tendering the full purchase price to the seller. The seller rejected the tender.

If the buyer sues the seller for breach of contract, the buyer will probably",multiple-choice,"A. 	win, because the seller failed to seasonably notify the buyer of any pending sale to the rancher.","B. 	win, because the seller waived the buyer's August 1 repudiation by urging her to retract it on August 15.","C. 	lose, because the buyer did not retract her repudiation before the seller materially changed his position in reliance thereon by selling the ranch to the rancher.","D. 	lose, because acceptance of the purchase price by the seller was a concurrent condition to the seller's obligation to convey the ranch to the buyer on December 1.",,,3,"Answer C is correct. If the effect of a repudiation is to deprive the non-repudiating party of a substantial part of the contract, it gives the non-repudiating party the right to terminate the contract and pursue remedies for total breach. The repudiating party, however, is still free to retract the repudiation and reinstate the contract if done before the non-repudiating party either materially relies on the repudiation or indicates that she considers the repudiation to be final. Although the buyer attempted to retract his repudiation on December 1, his repudiation was not timely because the seller had already materially relied on the repudiation on October 1 by conveying his ranch to the rancher.

A is incorrect because the seller did not have to give notice in order for his reliance to preclude retraction of the repudiation. B is incorrect because the seller's efforts to preserve the contractual relationship cannot be construed as waiving any right the seller had to pursue remedies for breach of contract. D is incorrect because the seller is not obligated to convey the ranch to the buyer if the buyer has repudiated the contract and the time for retracting the repudiation has passed.","Performance, Breach, and Discharge"
"On March 1, a mechanic contracted to repair a textile company's knitting machine by March 6. On March 2, the textile company contracted to manufacture and deliver specified cloth to a customer on March 15. The textile company knew that it would have to use the machine then under repair to perform this contract. Because the customer's order was for a rush job, the customer and the textile company included in their contract a liquidated damages clause, providing that the textile company would pay the customer $5,000 for each day's delay in delivery after March 15. 

The mechanic was inexcusably five days late in repairing the machine, and, as a result, the textile company was five days late in delivering the cloth to the customer. The textile company paid $25,000 to the customer as liquidated damages and then sued the mechanic for $25,000. Both the mechanic and the textile company knew when making their contract on March 1 that under ordinary circumstances the textile company would sustain few or no damages of any kind as a result of a five-day delay in the machine repair. 

Assuming that the $5,000-per-day liquidated damages clause in the contract between the textile company and the customer is valid, which of the following arguments will serve as the mechanic's best defense to the textile company's action?",multiple-choice,"A.	Time was not of the essence in the contract between the mechanic and the textile company.","B. 	The mechanic had no reason to foresee on March 1 that the customer would suffer consequential damages in the amount of $25,000.","C. 	By entering into the contract with the customer while knowing that its knitting machine was being repaired, the textile company assumed the risk of any delay loss to the customer.","D. 	In all probability, the liquidated damages paid by the textile company to the customer are not the same amount as the actual damages sustained by the customer in consequence of the late delivery of the cloth.",,,2,"Answer A is incorrect. The mechanic contracted to complete the repairs by a specified time. His failure to execute the repairs within the time set forth in the contract constituted a breach entitling the textile company to damages. The recovery of consequential damages, however, requires more than a determination of breach. Additional requirements, such as foreseeability of the damages, must be satisfied. Restatement (Second) of Contracts §§ 346, 351.

Answer B is correct. Assuming other requirements are met, an aggrieved party is entitled to recover consequential damages only if they were reasonably foreseeable to the breaching party. The textile company did not inform the mechanic of its contract with the customer, and thus the mechanic had no reason to know what impact his failure to timely perform would have on the textile company's relationship with its customer. Restatement (Second) of Contracts § 351.

Answer C is incorrect. The facts are insufficient to support this conclusion since the textile company had contracted with the mechanic for repairs to be completed within a time frame that would have allowed the textile company to timely fulfill its contractual obligations to the customer.

Answer D is incorrect. There are insufficient facts to support this conclusion. No information is provided concerning the actual damages sustained by the customer. Moreover, the facts assume the validity of the liquidated damages provision.",Remedies
"A buyer ordered from a seller 500 bushels of No. 1 Royal Fuzz peaches, at a specified price, ""for prompt shipment."" The seller promptly shipped 500 bushels, but by mistake shipped No. 2 Royal Fuzz peaches instead of No. 1. The error in shipment was caused by the negligence of the seller's shipping clerk.

Which of the following best states the buyer's rights and duties upon delivery of the peaches?",multiple-choice,"A. 	The seller's shipment of the peaches was a counteroffer and the buyer can refuse to accept them.","B. 	The seller's shipment of the peaches was a counteroffer but, since peaches are perishable, the buyer, if it does not want to accept them, must reship the peaches to the seller in order to mitigate the seller's losses.","C. 	The buyer must accept the peaches because a contract was formed when the seller shipped them.","D. 	Although a contract was formed when the seller shipped the peaches, the buyer does not have to accept them.",,,4,"Answer D is correct. Under the UCC, an order to buy goods ""for prompt shipment"" is interpreted as inviting acceptance either by a prompt promise to ship or by a prompt shipment of conforming or non-conforming goods. Where the goods delivered fail to conform to the contract, the buyer may reject the goods if the rejection is made within a reasonable time after delivery. When the buyer ordered 500 bushels of peaches ""for prompt shipment,"" the seller accepted by shipping No. 2 (rather than No. 1) Royal Fuzz peaches, and therefore the buyer has the right to reject them. Answers A and B are incorrect because the prompt shipment will be interpreted as an acceptance even if the goods are non-conforming. Answer C is incorrect because although a contract was formed, the buyer has the right to reject non-conforming goods.","Formation of Contracts"
"On May 1 a lot owner telegraphed a buyer, ""Will sell you any or all of the lots in Grover subdivision at $5,000 each. Details will follow in letter."" The letter contained all the necessary details concerning terms of payment, insurance, mortgages, etc., and provided, ""This offer remains open until June 1.""

On May 2, after he had received the telegram but before he had received the letter, the buyer telegraphed the owner, ""Accept your offer with respect to lot 101."" Both parties knew that there were fifty lots in the Grover subdivision and that they were numbered 101 through 150.

Assume that on May 5 the owner telephoned the buyer to explain that he had sold lots 102 through 150 to someone else on May 4 and that the buyer thereafter telegraphed the owner, ""Will take the rest of the lots."" Assume further that there is no controlling statute. In an action by the buyer against the owner for breach of contract, the buyer probably will",multiple-choice,"A. 	succeed, because the owner had promised him that the offer would remain open until June 1.","B. 	succeed, because the owner's attempted revocation was by telephone.","C. 	not succeed, because the buyer's power of acceptance was terminated by the owner's sale of the lots to another party.","D. 	not succeed, because the buyer's power of acceptance was terminated by an effective revocation.",,,4,"Answer D is correct. The owner's telephone call on May 5 informing the buyer that the remaining lots had been sold was a manifestation of the owner's intention not to enter into a contract with the buyer for the remaining lots and thus a revocation of his May 1 offer.

A is incorrect because there was no consideration to support an option to keep the offer open for a definite time. B is incorrect because the owner's telephone call to the buyer on May 5 served as actual notification of the revocation. C is incorrect because the sale to someone else would constitute indirect notice of revocation only if buyer also received reliable information of the sale; in this case, however, the owner's telephone call on May 5 was the only notice of revocation that the buyer received.","Formation of Contracts"
"A contractor had painted an owner's house, according to specifications, under a contract which called for payment of $2,000. The owner, contending in good faith that the porch had not been painted properly, refused to pay anything.

On June 15, the contractor mailed a letter to the owner stating, ""I am in serious need of money. Please send the $2,000 to me before July 1."" On June 18, the owner replied, ""I will settle for $1,800 provided you agree to repaint the porch."" The contractor did not reply to this letter.

Thereafter the owner mailed a check for $1,800 marked ""Payment in full on the painting contract as per letter dated June 18."" The contractor received the check on June 30. Because he was badly in need of money, the contractor cashed the check without objection and spent the proceeds but has refused to repaint the porch.

After cashing the check the contractor sued the owner for $200.00. The contractor probably will",multiple-choice,"A. 	succeed, because he can prove that he had painted the porch according to specifications.","B. 	succeed, because he cashed the check under economic duress.","C. 	not succeed, because he cashed the check without objection.","D. 	not succeed, because he is entitled to recover only the reasonable value of his services.",,,3,"Answer C is correct. A promise to settle a claim may be consideration to support a return promise so long as there is a good faith dispute over the validity of the claim. The owner's June 18th letter, together with his check for $1,800 with the notation ""payment in full"" is an offer of accord and satisfaction. The contractor accepted this offer when he retained and cashed the check without objection. In doing so, he waived his right to the remaining $200 from the original contract.

A is incorrect because even if the contractor can establish that he painted the porch according to contract specifications, the owner's good faith belief that the contractor had not painted the porch properly is sufficient consideration for his offer of settlement. B is incorrect because although the contractor is in need of money, he has a reasonable alternative - he can refuse to make an accord and instead file a lawsuit for payment pursuant to the terms of the original agreement. D is incorrect because expectation damages, not reliance damages, are the standard measure of recovery in breach of contract claims.","Formation of Contracts"
"A client consulted a lawyer about handling the sale of the client's building, and asked the lawyer what her legal fee would be. The lawyer replied that her usual charge was $100 per hour, and estimated that the legal work on behalf of the client would cost about $5,000 at that rate. The client said, ""Okay, let's proceed with it,"" and the lawyer timely and successfully completed the work. Because of unexpected title problems, the lawyer reasonably spent 75 hours on the matter and shortly thereafter mailed the client a bill for $7,500, with a letter itemizing the work performed and time spent. The client responded by a letter expressing his good-faith belief that the lawyer had agreed to a total fee of no more than $5,000. The client enclosed a check in the amount of $5,000 payable to the lawyer and conspicuously marked, ""Payment in full for legal service in connection with the sale of the client's building."" Despite reading the ""Payment in full. . ."" language, the lawyer, without any notation of protest or reservation of rights, endorsed and deposited the check to her bank account. The check was duly paid by the client's bank. A few days later, the lawyer unsuccessfully demanded payment from the client of the $2,500 difference between the amount of her bill and the check, and now sues the client for that difference.

What, if anything, can the lawyer recover from the client?",multiple-choice,"A. 	Nothing, because the risk of unexpected title problems in a real-property transaction is properly allocatable to the seller's attorney and thus to the lawyer in this case.","B. 	Nothing, because the amount of the lawyer's fee was disputed in good faith by the client, and the lawyer impliedly agreed to an accord and satisfaction.","$2,500, because the client agreed to an hourly rate for as many hours as the work reasonably required, and the sum of $5,000 was merely an estimate.","The reasonable value of the lawyer's services in excess of $5,000, if any, because there was no specific agreement on the total amount of the lawyer's fee.",,,2,"Answer B is correct. Under rules of accord and satisfaction, a debtor may make an offer to settle a dispute by offering a check marked ""payment in full."" If the notation was sufficiently plain that the creditor should have understood it, and if the amount owed to the creditor is an unliquidated sum, then cashing the check without protest amounts to an acceptance of the offer of an accord and satisfaction of the debt. Although mere payment of a lesser sum would not be sufficient consideration to support the accord, consideration is furnished where the amount owed to the creditor is genuinely in dispute. Even if the client lacked sufficient legal basis to prevail on his claim, his good-faith belief in the validity of the claim makes his promise to settle sufficient consideration to support the modification. Therefore, when the lawyer read the ""payment in full"" language on the client's $5,000 check and then cashed it without protest, the lawyer accepted the accord and satisfaction of the debt. A, C and D are incorrect because they fail to take into account the effect of the discharge of the client's debt through accord and satisfaction.","Formation of Contracts"
"A photographer and a customer entered a contract in writing on November 1, the essential part of which read as follows: ""[the photographer] to supply the customer with 200 personalized Christmas cards on or before December 15, bearing a photograph of [the customer] and his family, and [the customer] to pay $100 thirty days thereafter. Photograph to be taken by [the photographer] at [the customer]'s house. Cards guaranteed to be fully satisfactory and on time."" Because the customer suddenly became ill, the photographer was unable to take the necessary photograph of the customer and his family until the first week of December. The final week's delay was caused by the photographer's not being notified promptly by the customer of his recovery. Before taking the photograph of the customer and his family, the photographer advised the customer that he was likely to be delayed a day or two beyond December 15 in making delivery because of the time required to process the photograph and cards. The customer told the photographer to take the photograph anyway. The cards were finally delivered by the photographer to the customer on December 17, the photographer having diligently worked on them in the interim. Although the cards pleased the rest of the family, the customer refused to accept them because, as he said squinting at one of the cards at arm's length without bothering to put on his reading glasses, ""The photograph makes me look too old. Besides, the cards weren't delivered on time.""

Which of the following statements regarding the legal effect of the customer's illness is LEAST accurate?",multiple-choice,"A. 	The customer's illness and the related development excused the photographer from his obligations to deliver the cards on or before December 15.","B. 	Prompt notice by the customer to the photographer of the customer's recovery from illness was an implied condition of the photographer's duty under the circumstances.","C. 	The photographer was under a duty of immediate performance of his promise to deliver the cards, as of December 15, by reason of the express language of the contract and despite the illness of the customer and the related developments.","D. 	The customer's conduct after his illness constituted a waiver of the necessity of the photographer's performing on or before December 15.",,,3,"Answer C is correct. Where the existence of a particular person is necessary for the performance of a duty, his incapacity, if sufficient to make performance impracticable, may operate to excuse performance of the contract. If the delay resulting from the impracticability is not material, it may operate to suspend but not discharge the parties' remaining obligations under the contract. Since the contract between the customer and the photographer required the photographer to take a photograph of ""[the customer] and his family,"" the customer's availability was necessary for the performance of the photographer's duty and therefore his illness excused the photographer's delay in completing the cards by the December 15 due date. Since the photographer had no way of knowing of the customer's recovery, his obligation to resume performance was conditioned upon receiving notice of it. Although the customer might have taken the position that the delay beyond December was material, thereby justifying the discharge of any further obligation, his conduct (informing the photographer to ""take the photograph anyway"") amounted to a waiver of the December 15 deadline. Answer C is the least accurate statement since, as explained above, the customer's illness provided a basis for excuse of the delay.","Performance, Breach, and Discharge"
"The aged mother of a sister and brother, both adults, wished to employ a live-in companion so that she might continue to live in her own home. Their mother, however, had only enough income to pay one-half of the companion's $2,000 monthly salary. Learning of their mother's plight, the siblings agreed with each other in a signed writing that on the last day of January and each succeeding month during their mother's lifetime, each would give their mother $500. Their mother then hired the companion.

The siblings made the agreed payments in January, February, and March. In April, however, the brother refused to make any payment and notified his sister and mother that he would make no further payments.

Will their mother succeed in an action for $500 brought against the brother after April 30?",multiple-choice,"A.	Yes, because by making his first three payments, the brother confirmed his intent to contract.","B.	Yes, because the mother is an intended beneficiary of a contract between the siblings.","C.	No, because a parent cannot sue her child for breach of a promise for support.","D.	No, because the siblings intended their payment to their mother to be gifts.",,,2,"B is correct. The mother was not a party to the contract between the sister and the brother, so the only way for her to have contractual rights is if she was the intended beneficiary of the contract. For the mother to be an intended beneficiary, she must be the person to whom performance is to be given. In this case several factors indicate that the mother is an intended beneficiary: the mother is named in the contract, the mother directly receives the payments, and the mother has a close familial relationship with the parties. Therefore, the mother is an intended beneficiary and will prevail in a suit against the brother for the $500 payment.

A is incorrect because modern contract law is based upon the objective test, which does not consider a party's private intent. The brother's intent is irrelevant. Further, whether a contract was formed is not at issue. The issue is whether the mother has contractual rights that may be asserted.

C is incorrect because the mother is simply asserting her rights as an intended beneficiary to the contract; her claim is not solely based on her relationship to the son. Furthermore, there is no rule of contract law which states that a parent may not sue a child.

D is incorrect because the promise to pay $500 was made in exchange for a mutual promise to pay the other $500. Because consideration was present, a contract was formed, and the $500 payments will not be considered gifts.","Third-Party Rights"
"On June 1, a wholesale company received a purchase-order form from a retailer, in which the latter ordered 1,000 anti-recoil widgets for delivery no later than August 30 at a delivered total price of $10,000, as quoted in the wholesale company's current catalog. Both parties are merchants with respect to widgets of all types. On June 2, the wholesale company mailed to the retailer its own form, across the top of which the wholesale company's president had written, ""We are pleased to accept your order."" This form contained the same terms as the retailer's form except for an additional printed clause in the wholesale company's form that provided for a maximum liability of $100 for any breach of contract by the wholesale company.

As of June 5, when the retailer received the wholesale company's acceptance form, which of the following is an accurate statement concerning the legal relationship between the wholesale company and the retailer?",multiple-choice,"A.	There is no contract, because the liability-limitation clause in the wholesale company's form is a material alteration of the retailer's offer.","B.	There is no contract, because the retailer did not consent to the liability-limitation clause in the wholesale company's form.","C.	There is an enforceable contract whose terms include the liability-limitation clause in the wholesale company's form, because liquidation of damages is expressly authorized by the Uniform Commercial Code.","D.	There is an enforceable contract whose terms do not include the liability-limitation clause in the wholesale company's form.",,,4,"Answer D is correct. Under the UCC, a written acceptance generally will operate as such even if it states additional or different terms. The additional or different terms, however, will not become part of the contract if they materially alter the contract, unless the offeror expressly agrees to such term. Although the wholesale company's form contained a limitation-on-liability clause, the acceptance, nonetheless, operated as an acceptance of the retailer's offer. Since the contract price was $10,000, the clause limiting wholesale company's liability to $100 proposes a material alteration to the contract and therefore will not become part of the contract, since the retailer did not expressly agree to it. A and B are incorrect, because the wholesale company's acceptance is effective notwithstanding the existence of a material additional term. C is incorrect because the liability-limitation clause proposes a material alteration and thus will not become part of the contract.","Formation of Contracts"
"QUESTION:

In exchange for valid and sufficient consideration, a mother orally promised her son, who had no car and wanted a minivan, ""to pay to anyone from whom you buy a minivan within the next six months the full purchase-price thereof."" Two months later, the son bought a used minivan on credit from a car dealership for $8,000. At the time, the dealership was unaware of the mother's earlier promise to her son, but learned of it shortly after the sale.

Can the dealership enforce the mother's promise to her son?
",multiple-choice,"A.	Yes, under the doctrine of promissory estoppel.","B.	Yes, because the dealership is an intended beneficiary of the mother-son contract.","C.	No, because the mother's promise to her son is unenforceable under the suretyship clause of the statute of frauds.","D.	No, because the dealership was neither identified when the mother's promise was made nor aware of it when the minivan sale was made.",,,2,"Answer B is correct. A third party acquires standing to enforce a promise only if that party is an intended beneficiary of the promise. A party is an intended beneficiary of a promise if recognition of a right to performance in the beneficiary is appropriate to effectuate the intent of the parties, such as where the promisor knows that the promisee intended to confer a benefit on the beneficiary. The dealership is an intended beneficiary of the mother's promise to her son because both parties understood that the purpose of the contract between them was to confer a benefit on the future seller of the son's minivan. This purpose is clear from the terms of the mother's promise, which was to pay the purchase price ""to anyone from whom you buy a minivan.""

A is incorrect because the dealership was not aware of the mother's promise at the time that it sold the minivan to the son, and therefore could not have relied on it. C is incorrect because the suretyship provision of the Statute of Frauds does not apply where the surety promise was made to the principal (the son) and not to the obligee (the dealership). D is incorrect because, although the dealership's identification and awareness of the mother's promise is relevant to determining when its rights as beneficiary vest, it is not relevant to determining whether it is an intended or incidental beneficiary.
","Third-Party Rights"
