Question,"Question Type (multiple-choice or multi-select)","Answer Option 1","Answer Option 2","Answer Option 3","Answer Option 4","Answer Option 5","Answer Option 6","Correct Response",Explanation,"Knowledge Area"
"1. Janice purchases health insurances from ConRip Insurance. The insurance policy written by ConRip Insurance excludes from coverage ""any disease of organs of the body not common to both sexes."" Janice develops a fibroid tumor, which can occur in any organ, in her uterus. When Janice files a claim, ConRip Insurance denies coverage. In a law suit by Janice against ConRip, which of the following is the most likely outcome?",multiple-choice,"Janice will prevail. Although the policy is ambiguous because ""not common to both sexes"" can modify ""disease"" or ""organs"", this ambiguity is likely to be constructed against the drafter.","Janice will prevail based on the doctrine of reasonable expectations.","ConRip will prevail because they have substantially performed.","ConRip will prevail. Although the policy is ambiguous because ""not common to both sexes"" can modify ""disease"" or ""organs"", the purpose of the contract is to exclude coverage of male and female reproductive organs.",,,1,"A    In choosing between reasonable interpretations, a court may construe a contract against the party who drafted it. This is not true of collaborative efforts or where one party of reasonably equal bargaining power drafts a contract as a matter of convenience for the other party. This maxim is especially true of adhesion contracts where the contract is drafted by a dominant party with no reasonable bargaining ability by the other party, such as the insurance contract at issue. Choice Bis incorrect because in this case there is more than one reasonable interpretation and no commonly accepted custom is indicated. Choice Cis incorrect because it pertains to determining damages, not to contract interpretation. Choice Dis incorrect, though it is the second-best answer, because it is unknown if the proffered interpretation is the intent of the contract.","Ambiguous Contract"
"2. Sarah Seller, president and owner of Comps, a company that sells discounted computers, ordered 500 computer chips from Chippers, a manufacturer of computer chips. The terms of the transaction were that Comps would pay $500 for the computer chips, all of which would be delivered by the end of business on December 31, 2008. On December 21, 2008, Chippers sent the shipment, which was delivered to Comps on December 23, 2008. Upon inspection by Sarah, 475 of the computer chips were in perfect condition, but there were some problems with the other 25, ranging from nicks to bent edges. Sarah, incredibly annoyed at what she saw as Chipper's shoddy shipping practices, decided she needed to send them a message. So, she accepted only 400 of the computer chips, and refused delivery on the remaining 100 computer chips. Chippers wants to know what their legal rights are before they decide whether to sue. What outcome should they anticipate?",multiple-choice,"With notice, Chippers has an absolute right to redeliver conforming computer chips by December 31, 2008, and Comps will be in breach if it does not accept them.","Comps has the right to retract their repudiation provided Chippers has not changed their position in reliance or informed Comps that it is treating the contract as breached.","Comps has committed a breach by not accepting the undamaged computer chips, and Chippers must make an election as to whether to perform or sue for damages.","Comps actions amount to an anticipatory repudiation, and Chippers may immediately sue for total breach.",,,1,"A    Assuming there is a defect in the tender or delivery of goods, UCC §2-601, often called the “perfect tender rule,” gives buyers the right to reject the whole lot, accept the whole lot, or accept any commercial unit(s) and reject the rest. The rejection must be made in good faith and not just to void an unfavorable bargain. The broad power of a buyer to reject is tempered by UCC §2-508, often called the “right to cure” section, which has two standards for cure based on when the rejection occurs. If the time in which the performance is due has not passed, the seller, with seasonable notice, can make a conforming tender by the date of performance as a matter of right (subsection 1). If the time for performance has passed, the seller with seasonable notice, may still cure within a reasonable time provided the seller reasonably expected the buyer to accept the original tender. Choice Bis incorrect because it deals with anticipatory rejection that would be a material breach. Choice Cis incorrect, though it is the second best answer, because the buyer had the right to reject the units. Choice Dis incorrect because Chippers' actions did not constitute a statement that they intended to commit a material breach of their obligation to perform.","Correction of Goods"
"3. Epstein offers to sell 50,000 shoelaces to Ponoroff for $50,000, deliverable in 30 days. On October 15, 2006, the parties sign a 27 page contract that includes all relevant details, as well as a merger clause. Epstein dies on October 16, 2006. Ponoroff is seeking fulfillment of the contract from Epstein's estate, and produces written evidence of an oral side agreement that Ponoroff could choose to be paid 50,000 euros instead of dollars if he so chose. The Epstein estate claims the merger clause prohibits inclusion of any other information. The jurisdiction in which Ponoroff brings the suit always uses the four corners method of analysis. In the side agreement admissible evidence?",multiple-choice,"Yes, when the offeree dies, courts admit all evidence.","No, even if accurate, the parol evidence will not be admitted.","Yes, the court will consider the parol evidence as it supplements the agreement.","Yes, the court will admit any evidence that explains ambiguity.",,,2,"B    Under the parol evidence rule, extrinsic evidence of prior agreements is not admissible to contradict the terms of a writing intended to be an integration. The parol evidence rule requires that the prior extrinsic evidence be offered to show that there was a consistent additional term not reflected in the contract language, or to assist in interpreting the terms of a contract. In no event, however, is evidence allowed to contradict the written expression of the parties because that expression is the best evidence of the intent of theparties. Choice Ais incorrect because the death of the offeree does not alter the terms of the contract; euros are a different currency than dollars. Choice Cis incorrect because the proffered evidence does not supplement the writing, it would contradict it. Choice Dis incorrect because there is no ambiguity with respect to “dollars.”","Parol Evidence"
"4. Which of the following theories is used to justify the giving of only expectation damages in the event of breach of contract?",multiple-choice,"Encourage efficient breaches when all parties are better off as a result.","Avoid having a party incur greater risk than could have been foreseen and protected against.","Encourage parties to keep their word and follow through with their obligations.","Avoid allowing the non-breaching party to obtain a windfall.",,,3,"C    In an action based on breach of contract, no causes of action for punitive or penal damages are available. This is true regardless of the propriety or rationale of the party breaching the contract. Choice Ais incorrect. In fact, the concept of an efficient breach wherein repudiation is encouraged where all parties will benefit economically as a result, is a hallmark of the law and economics school of thought. Choice Bis incorrect because parties should be able to assess the economic risk and plan accordingly. Choice Dis incorrect because damages in contract are intended to put a party in as good a place as the party would have been had performance occurred, not allow a party to obtain greater damages.",Remedies
"5. On December 1, 2006, WebPeanut.com, a company that sells baby products over the Internet, faxed an order to Bippy, Inc., manufacturer of baby pacifiers, for 250 pacifiers of assorted colors, to be delivered by December 24, 2006, at a wholesale cost of $1 per pacifier, with shipping to be paid by Bippy. WebPeanut's faxed form included about 30 other terms, most pertinently a provision that, prior to filing suit, the parties would agree to try to mediate their dispute in a location convenient to both parties or, if that is not feasible, by telephone. Bippy received the fax and, using Bippy's form, which did not have the mediation clause, confirmed the order. In the holiday rush, Bippy forgot all about WebPeanut's order and failed to perform. WebPeanut wishes to enforce the mediation clause, but Bippy objects. What will be the likely outcome?",multiple-choice,"While the parties did not have a contract, they behaved as though they did, and the contract will consist of what they agreed on, plus the UCC gap-fillers.","Since one of the parties is not a merchant and since Bippy did not agree to the term, it is not included.","Since the term would likely cause surprise and hardship, it is not included in their contract.","The cause will likely to be enforced.",,,4,"D    UCC §2-207, also called the “Battle of the Forms,” is intended to clarify the terms of a contract when one party uses a confirming document that has different or additional terms from the other party's document. In this case, the parties do have a definite expression of acceptance. Thus, a contract was formed under subsection 1, and subsection 2 is applied to determine which terms apply. Here, the mediation term is additional, not different (contradictory). Between merchants, the additional term becomes part of the contract unless it materially alters the contract (causes surprise or hardship). Here, a local or telephonic mediation prior to filing suit would most likely not be a material alteration and thus the term would be included. Choice Ais incorrect because subsection 3 is applicable only if the parties do not have a contract but behave as if they do. Choice Bis incorrect because most likely both parties would be found to be merchants. Choice Cis incorrect because the mediation clause would most likely not be a material alteration of the contract.","Battle of Forms"
"6. Ashira is worried about her 21-year-old son, Malachi, who is spending a lot of time at college drinking alcohol. She tells him, ""If you stop drinking alcohol and get straight A's this year, I will buy you a new stereo."" Malachi stops drinking alcohol and get straight A's. When he asks for a new stereo, she says, ""You know I was joking about that."" If Malachi sued Ashira, which of the following is the most correct?",multiple-choice,"Malachi would win. He stopped partying and got straight A's, giving Ashira the consideration she was bargaining for.","Malachi would win. They had a bilateral contract and he fully performed his end of the bargain.","Malachi would lose if the evidence showed Ashira actually was joking when she made her offer.","Malachi would lose. The fact that he stopped partying and got straight A's was a benefit to him. In order for there to be consideration, the promisee must also suffer a legal detriment.",,,1,"A    Agreements where both parties intended to contract should be enforced. Agreements where both parties know that a contract is not intended, even when the objective manifestations indicate a contract has been formed, should not be enforced. The difficult case is where one party claims to have been serious and the other party claims to have been joking. To resolve this case, ask whether a reasonable person would believe an offer had been made based on objective manifestations. If so, enforce the contract even if theofferor subjectively did not intend to contract. Here, it appears Ashira intended to make a valid offer and Malachi believed a valid offer had been made, so the contract is enforceable even if Ashira was subjectively joking. Choice Bis incorrect because the parties did not have a bilateral contract; Malachi did not promise to get straight A's. Choice Cis incorrect because it does not matter if Ashira was subjectively joking; only how it truly appeared to Malachi matters. Choice Dis incorrect because it does not matter whether the consideration was a benefit to the offeree. Malachi performed as requested in response to the offer.","Detrimental Reliance"
"7. Jeff asked his neighbor, Ron, to help Jeff install a TV antenna on Jeff's roof. Jeff had recently purchased a ladder but had not assembled it properly. When Ron climbed up the ladder, a step broke and so did Ron's leg.

Jeff visited Ron in the hospital and said, ""I will pay your medical expenses if you will promise not to sue me."" Ron said, ""Fine"". When Jeff failed to pay the expenses, Ron paid them and sued Jeff for breach of contract.

Jeff elicits Ron's admission that at the time of their agreement Ron had absolutely no intention of suing Jeff and Jeff knew Ron did not believe in settling disputes through the courts. Based on that fact which of the following statements is correct?",multiple-choice,"Ron will loose because the release of an invalid claim is not consideration.","Ron will win because he has detrimentally relied on Jeff's promise.","Ron will win because there as consideration for Jeff's promise.","Ron will win because failure to enforce Jeff's promise in these circumstances would be unconscionable.",,,3,"C    Following the Restatement (Second) of Contracts §71, consideration is a bargained-for benefit or detriment. Courts generally do not inquire into the adequacy of consideration so long as it is present. Courts generally do not examine a party's motivation in deciding whether consideration is present. In this case, assuming Ron arguably had a cause of action against Jeff, he agreed to give up that cause of action in return for Jeff paying Ron's medical expenses.Abilateral agreement to compromise a disputed claim provides consideration. Choice Ais incorrect because Ron's claim is not invalid, even if he had no intention of suing Jeff. Choice Bis incorrect because the facts don't indicate any reliance and we have a valid contract. Choice Dis incorrect because it is not unconscionable under these circumstances for the parties to compromise a disputed claim.","Breach And Consideration"
"8.Fred Freeloader, a 40 year old slacker who achieved notoriety many years before by skateboarding from one side of Manhattan to the other while hanging on to the fenders of taxis, is ready to put all that behind him and start a company that will make skateboards, surfboards, and snowboards, all bearing the ""Freeloader"" logo. There's just one problem: Freeloader has no money. He decides to approach Sam Startup, a fellow surfer and millionaire, for a loan. However, he knows Startup won't lend him the money if he just makes an appointment to see him in his office. So, on Friday night at 11 P.M, Freeloader and his friend Mike Massive, a giant of a man and an ex-boxer, pay Startup a visit. Startup is surprised to see the pair so late at night. He initially says no to the idea, but over many hours he gets so beaten down, so tired, and so afraid for his life, that he agrees to meet Freeloader at the office of Startup's lawyer to consider the idea. A week later, in the lawyer's office, Startup decides to invest and has the lawyer draw up the papers. In short order, the loan is made, and the company fails. Is startup likely to prevail in a lawsuit to rescind the transaction?",multiple-choice,"Yes, Freeloader and Massive exerted undue influence on Sam.","Yes, Startup made a unilateral mistake in believing that the company was likely to be successful.","No. There is no rescission for mistakes of law.","No. The circumstances surrounding the consummation of the transaction are unlikely to be subject to a defense that would allow rescission.",,,4,"D    This problem examines the defense of undue influence. Undue influence is unfair persuasion of a party who is under the domination of the person exercising the persuasion. The degree of persuasion that is unfair depends on a variety of circumstances. The ultimate question is whether the result was produced by means that seriously impaired the free and competent exercise of judgment. Factors courts consider include the presence of one or more persuaders; discussions at an inappropriate location or time; statements by the dominant party that the weakened party cannot seek counsel or cannot delay in reaching an immediate agreement. If found, the agreement is voidable by the weakened party. Here, although many of the factors of undue influence are present, the delay in reaching the agreement and decision to seek counsel and meet in counsel's office probably defeats an undue influence defense. Thus, choice Ais incorrect. Choice Bis incorrect because there was no actionable mistake made in the bargaining process. Choice Cis incorrect because there is no mistake of law presented in the problem.","Defense of Undue Influence"
"9. Tim, during negotiations to purchase Sue's house, told Sue that his ""last offer"" was $101,000 for the property, and ""not a penny more"". In fact, Tim and his spouse Jane had agreed that they would pay as much as $106,000 for the house if Sue was not willing to budge from her asking price of $115,000. Sue accepted Tim's offer of $101,000. A few days later, Jane volunteered to Sue that Tim would have offered Sue $106,000 if Sue had turned down the offer at $101,000. Which of the following sentences best describes the legal relationship between Tim and Sue?",multiple-choice,"Sue is entitled to rescind the contract for the sale of the house because of Tim's misrepresentation, assuming it is material.","Sue is entitled to rescind the contract for the sale of the house because of Tim's concealment.","Sue is not entitled to rescind the contract because there is no liability for intentional nondisclosure.","Sue is not entitled to rescind the contract.",,,4,"D    This problem examines the defense of material misrepresentation. Amisrepresentation is a statement not in accord with the facts. It is material if the misrepresenter knows or should have known that the misrepresentation would induce the recipient to enter into the agreement. The misrepresentation defense is available to a party reasonably induced to enter into a contract as a result of false information provided by opposing party during bargaining process. In this case, while there was a misrepresentation, which may have been material, the recipient was not justified in relying upon it. It is understood that parties may misrepresent how much they are willing to pay for something in the bargaining process. Thus, choice Ais incorrect. Choice Bis incorrect because there is no concealment in this case. Choice Cis incorrect because there is no intentional nondisclosure in this case.","Material Misrepresentation"
"10. Party A sends an offer to party B by mail. B then receives the offer. B then mails an acceptance. A then mails a revocation to B. B then receives the revocation. A never receives B's acceptance. In this circumstances, what is the most accurate statement of the legal principle that governs this sequence?",multiple-choice,"A contract is formed because B's acceptance was sent before A's revocation was received.","A contract is formed because B's acceptance was sent before A's revocation was sent.","A contract is not formed because A's revocation was sent before B's acceptance was received.","A contract is not formed because A's revocation was received before B's acceptance was received.",,,1,"A  This problem examines the application of the “mailbox” rule. This rule, followed by most courts, states that an acceptance of an offer is effective when dispatched — i.e., when put in the mailbox. The theory behind the rule is that the offeror, as “master of the offer,” could specify any means of acceptance she wanted, but chose to create a risk of the acceptance being lost. As such, it is fair to put the burden of the loss on the offeror. The mailbox rule is applicable only to acceptances. As such, when Asends the offer and Bdispatches the acceptance, a contract is formed at that moment. Choice Bis incorrect because the acceptance took place before Areceived the revocation. Choice Cis wrong because it is not relevant when A's revocation was sent. Choice Dis incorrect because it is not relevant when B's acceptance is received since the contract was formed when B's acceptance was dispatched.","Mailbox Rule"
